Battery_Level,Battery_Temperature,Time_sin,Time_cos,Battery_Current_Feature,Time_to_Next_Charge_Minutes
0.829999983,30.10000038,0.02181488503456112,0.9997620270799091,-45.40000153,1690.0
0.819999993,30.0,0.06540312923014306,0.9978589232386035,-45.40000153,1680.0
0.819999993,30.0,0.10886687485196457,0.9940563382223196,-45.40000153,1670.0
0.819999993,30.0,0.1521233861899167,0.9883615104677607,-45.40000153,1660.0
0.810000002,29.89999962,0.19509032201612825,0.9807852804032304,-45.40000153,1650.0
0.810000002,29.79999924,0.2376858923261731,0.9713420698132614,-45.40000153,1640.0
0.810000002,29.79999924,0.2798290140309921,0.9600498543859287,-45.40000153,1630.0
0.810000002,29.70000076,0.3214394653031616,0.9469301294951057,-45.40000153,1620.0
0.800000012,29.60000038,0.36243803828370164,0.9320078692827986,-45.40000153,1610.0
0.800000012,29.60000038,0.40274668985873724,0.9153114791194471,-45.40000153,1600.0
0.800000012,29.5,0.4422886902190013,0.8968727415326883,-45.40000153,1590.0
0.800000012,29.5,0.48098876891938763,0.8767267557075077,-45.40000153,1580.0
0.790000021,29.5,0.5187732581605213,0.8549118706729466,-45.40000153,1570.0
0.790000021,29.39999962,0.5555702330196022,0.8314696123025452,-45.40000153,1560.0
0.790000021,29.29999924,0.5913096483635824,0.8064446042674827,-45.40000153,1550.0
0.790000021,29.20000076,0.6259234721840591,0.7798844830928818,-45.40000153,1540.0
0.779999971,29.20000076,0.6593458151000688,0.7518398074789774,-45.40000153,1530.0
0.779999971,29.20000076,0.6915130557822693,0.7223639620597556,-45.40000153,1520.0
0.779999971,29.0,0.7223639620597555,0.6915130557822694,-45.40000153,1510.0
0.769999981,28.89999962,0.7518398074789773,0.659345815100069,-45.40000153,1500.0
0.769999981,28.89999962,0.7798844830928817,0.6259234721840591,-45.40000153,1490.0
0.769999981,28.79999924,0.8064446042674825,0.5913096483635825,-45.40000153,1480.0
0.769999981,28.79999924,0.8314696123025452,0.5555702330196023,-45.40000153,1470.0
0.75999999,28.70000076,0.8549118706729465,0.5187732581605216,-45.40000153,1460.0
0.75999999,28.70000076,0.8767267557075077,0.48098876891938774,-45.40000153,1450.0
0.75999999,28.60000038,0.8968727415326884,0.44228869021900125,-45.40000153,1440.0
0.75999999,28.60000038,0.9153114791194471,0.40274668985873724,-45.40000153,1430.0
0.75,28.60000038,0.9320078692827984,0.3624380382837017,-45.40000153,1420.0
0.75,28.5,0.9469301294951057,0.3214394653031615,-45.40000153,1410.0
0.75,28.5,0.9600498543859287,0.27982901403099203,-45.40000153,1400.0
0.74000001,28.39999962,0.9713420698132614,0.2376858923261731,-46.79999924,1390.0
0.74000001,28.5,0.9807852804032304,0.19509032201612833,-45.40000153,1380.0
0.74000001,28.39999962,0.9883615104677607,0.1521233861899168,-46.79999924,1370.0
0.74000001,28.29999924,0.9940563382223196,0.10886687485196474,-45.40000153,1360.0
0.730000019,28.29999924,0.9978589232386035,0.06540312923014305,-45.40000153,1350.0
0.730000019,28.29999924,0.9997620270799091,0.02181488503456116,-46.79999924,1340.0
0.730000019,28.20000076,0.9997620270799091,-0.021814885034561256,-45.40000153,1330.0
0.730000019,28.20000076,0.9978589232386035,-0.06540312923014292,-45.40000153,1320.0
0.720000029,28.0,0.9940563382223196,-0.10886687485196461,-46.79999924,1310.0
0.720000029,28.0,0.9883615104677607,-0.1521233861899167,-46.79999924,1300.0
0.720000029,28.0,0.9807852804032305,-0.19509032201612797,-46.79999924,1290.0
0.709999979,27.89999962,0.9713420698132614,-0.237685892326173,-46.79999924,1280.0
0.709999979,27.89999962,0.9600498543859287,-0.2798290140309919,-46.79999924,1270.0
0.709999979,27.79999924,0.9469301294951057,-0.3214394653031616,-46.79999924,1260.0
0.709999979,27.89999962,0.9320078692827986,-0.3624380382837014,-46.79999924,1250.0
0.699999988,27.79999924,0.9153114791194472,-0.40274668985873713,-46.79999924,1240.0
0.699999988,27.79999924,0.8968727415326884,-0.44228869021900113,-44.0,1230.0
0.699999988,27.70000076,0.8767267557075078,-0.48098876891938747,-44.0,1220.0
0.699999988,27.60000038,0.8549118706729467,-0.5187732581605212,-44.0,1210.0
0.689999998,27.79999924,0.8314696123025451,-0.5555702330196023,-42.40000153,1200.0
0.689999998,27.79999924,0.8064446042674828,-0.5913096483635821,-42.40000153,1190.0
0.689999998,27.79999924,0.7798844830928818,-0.6259234721840591,-36.59999847,1180.0
0.689999998,27.79999924,0.7518398074789774,-0.6593458151000688,-32.20000076,1170.0
0.680000007,27.89999962,0.7223639620597556,-0.6915130557822693,-29.20000076,1160.0
0.680000007,27.89999962,0.6915130557822695,-0.7223639620597555,-32.20000076,1150.0
0.680000007,27.89999962,0.6593458151000686,-0.7518398074789776,-32.20000076,1140.0
0.680000007,27.89999962,0.6259234721840592,-0.7798844830928816,-33.59999847,1130.0
0.680000007,28.0,0.5913096483635826,-0.8064446042674824,-33.59999847,1120.0
0.680000007,27.89999962,0.5555702330196022,-0.8314696123025453,-26.39999962,1110.0
0.670000017,27.89999962,0.5187732581605218,-0.8549118706729464,-29.20000076,1100.0
0.670000017,27.89999962,0.48098876891938763,-0.8767267557075077,-29.20000076,1090.0
0.670000017,27.89999962,0.4422886902190013,-0.8968727415326883,-23.39999962,1080.0
0.670000017,27.79999924,0.4027466898587373,-0.9153114791194471,-7.199999809,1070.0
0.670000017,27.89999962,0.36243803828370175,-0.9320078692827984,-7.199999809,1060.0
0.670000017,28.20000076,0.32143946530316175,-0.9469301294951056,22.0,1050.0
